source,target,letters,source_gender,target_gender
"Appleton, Thomas","Jefferson, Thomas",73,M,M
"Jefferson, Thomas","Vaughan, John",73,M,M
"Taylor, James","Madison, James",73,M,M
"Madison, James","Dallas, Alexander J.",73,M,M
"Wagner, Jacob","Madison, James",73,M,M
"Randolph, Thomas Mann","Jefferson, Thomas",72,M,M
"Washington, George","Dayton, Elias",72,M,M
"Smallwood, William","Washington, George",72,M,M
"Dumas, C. W. F.","Adams, John",72,M,M
"Wolcott, Oliver Jr.","Washington, George",72,M,M
"Lear, Tobias","Jefferson, Thomas",72,M,M
"Du Pont de Nemours, Pierre Samuel","Jefferson, Thomas",72,M,M
"Jefferson, Thomas","Bacon, Edmund",72,M,M
"Dinwiddie, Robert","Washington, George",71,M,M
"Gerry, Elbridge","Adams, John",71,M,M
"Gordon, William","Washington, George",71,M,M
"Clinton, James","Washington, George",71,M,M
"Dumas, Charles-Guillaume-Frédéric","American Commissioners,",71,M,M
"Hamilton, Alexander","Stevens, Ebenezer",71,M,M
"Munroe, Thomas","Jefferson, Thomas",71,M,M
"Turreau de Garambouville, Louis-Marie","Madison, James",71,M,M
"Barbeu-Dubourg, Jacques","Franklin, Benjamin",70,M,M
"Washington, George","Tallmadge, Benjamin",70,M,M
"Jefferson, Thomas","Lafayette, Marie-Joseph-Paul-Yves-Roch-Gilbert du Motier marquis de",70,M,M
"Jefferson, Thomas","Nicholas, Wilson Cary",70,M,M
"Adams, Abigail Smith","Adams, Louisa Catherine Johnson",70,F,F
"Kirkpatrick, William","Madison, James",70,M,M
"Washington, Lund","Washington, George",69,M,M
"Page, John","Jefferson, Thomas",69,M,M
"Dumas, Charles-Guillaume-Frédéric","Lee, Arthur",69,M,M
"Washington, George","Boudinot, Elias",69,M,M
"Bondfield, John","Adams, John",69,M,M
"Washington, George","Madison, James",69,M,M
"Jefferson, Martha (Martha Jefferson Randolph)","Jefferson, Thomas",69,M,M
"Hamilton, Alexander","Smith, William Stephens",69,M,M
"Jefferson, Thomas","Cabell, Joseph Carrington",69,M,M
"Randolph, Edmund","Jefferson, Thomas",68,M,M
