source,target,letters
"Washington, George","Whitting, Anthony",95
"Jefferson, Thomas","Leiper, Thomas",94
"Genet, Edmond Charles","Jefferson, Thomas",94
"Stephen, Adam","Washington, George",93
"Adams, John","Tufts, Cotton",93
"Spotswood, Alexander","Washington, George",93
"Adams, Abigail Smith","Lovell, James",93
"Stewart, Robert","Washington, George",92
"Franklin, Benjamin","Jay, John",92
"Deane, Silas","Williams, Jonathan Jr.",92
"Hamilton, Alexander","Schuyler, Philip",92
"Adams, John","Willink, Wilhem & Jan (business)",92
"Cathalan, Stephen Jr.","Jefferson, Thomas",92
"Franklin, Benjamin","Morris, Robert",91
"Smith, William Stephens","Washington, George",91
"Humphreys, David","Washington, George",91
"Duane, William","Jefferson, Thomas",91
"Adams, Abigail Smith","Welsh, Harriet",91
"Franklin, Benjamin","LeRoy, Jean Baptiste",90
"Johnson, Thomas","Washington, George",90
"Adams, John","Marshall, John",89
"Franklin, Benjamin","Franklin, William",88
"Malcom, William","Washington, George",88
"Adams, John","Livingston, Robert R.",88
"Jefferson, Thomas","Morris, Gouverneur",88
"Franklin, Benjamin","Parker, James",87
"Huntington, Jedediah","Washington, George",87
"Clinton, Henry","Washington, George",87
"Hamilton, Alexander","Willink, Jan",87
"Hamilton, Alexander","Willink, Wilhelm",87
"Jefferson, Thomas","Pinckney, Thomas",87
"Hamilton, Alexander","Rice, Nathan",87
"Adams, Charles Francis","Adams, Louisa Catherine Johnson",87
"Cabell, William H.","Jefferson, Thomas",86
"Ward, Artemas","Washington, George",86
"Washington, George","Washington, George Augustine",86
"Hamilton, Alexander","Hubbard, Nicholas",86
"Hamilton, Alexander","Van Staphorst, Jacob",86
"Hamilton, Alexander","Van Staphorst, Nicholaas",86
"Adams, Thomas Boylston","Shaw, William Smith",86
"Hand, Edward","Washington, George",85
"Adams, John","Staphorst, Nicolaas & Jacob van (business)",85
"Adams, John","Smith, William Stephens",85
"Jefferson, Thomas","Yancey, Joel",85
"Washington, George","Woodford, William",84
"Adams, John","Warren, Mercy Otis",84
"Adams, John","Bondfield, John",84
"Franklin, Benjamin","Lafayette, Marie-Joseph-Paul-Yves-Roch-Gilbert du Motier marquis de",84
"Adams, Charles","Adams, John",83
"Washington, Bushrod","Washington, George",83
"Scott, Gustavus","Washington, George",83
"Jefferson, Thomas","Wistar, Caspar",83
"Hamilton, Alexander","Pinckney, Charles Cotesworth",83
"Howe, William","Washington, George",82
"Schuyler, Philip John","Washington, George",82
"Adams, John","Willink, Wilhelm",82
"Knox, Henry","Lear, Tobias",82
"Collinson, Peter","Franklin, Benjamin",81
"Adams, John","Willink, Jan",81
"Jefferson, Thomas","Lear, Tobias",81
"Madison, James","Wagner, Jacob",81
"Jefferson, Thomas","Oldham, James",81
"Jefferson, Thomas","Warden, David Bailie",81
"Muse, Battaile","Washington, George",80
"Hay, George","Jefferson, Thomas",80
"Adams, George Washington","Adams, John Quincy",80
"Adams, Abigail Smith","Thaxter, John",79
"Jefferson, Thomas","Jones & Howell,",79
"Congress,","Madison, James",79
"Jefferson, Thomas","Livingston, Robert R.",78
"Hamilton, Alexander","Parker, Thomas",78
"Madison, James","Turreau de Garambouville, Louis-Marie",78
"Henry, Patrick","Washington, George",77
"Bland, Theodorick","Washington, George",77
"Shreve, Israel","Washington, George",77
"Madison, James","Skipwith, Fulwar",77
"Anonymous,","Jefferson, Thomas",77
"Hamilton, Alexander","Knox, Henry",76
"Alexander, William Lord Stirling","Washington, George",76
"Adams, John","Cunningham, William",76
"Madison, James","Taylor, James",76
"Adams, John Quincy","Madison, James",76
"Madison, James","Yznardy, Josef",76
"Gerry, Elbridge","Madison, James",76
"Fairfax, Bryan","Washington, George",75
"Franklin, Benjamin","Galloway, Joseph",75
"Madison, James",Unknown,75
"Cooper, Samuel","Franklin, Benjamin",74
"Sheldon, Elisha","Washington, George",74
"Bondfield, John","Jefferson, Thomas",74
"Eaton, William","Madison, James",74
"Coolidge, Ellen Wayles Randolph","Jefferson, Thomas",74
"Gilmer, Francis Walker","Jefferson, Thomas",74
"Adams, John","Boylston, Ward Nicholas",74
"Washington, George","Washington, John Augustine",73
"Varnum, James Mitchell","Washington, George",73
"Jefferson, Thomas","Jefferson, Thomas",73
"Adams, John","Barclay, Thomas",73
"Erskine, David Montague","Madison, James",73
"Coles, Edward","Madison, James",73
"Boucher, Jonathan","Washington, George",72
"Gates, Horatio","Jefferson, Thomas",72
"Carey, Mathew","Jefferson, Thomas",72
"Fairfax, George William","Washington, George",71
"American Commissioners,","Dumas, Charles-Guillaume-Frédéric",71
"Wadsworth, Jeremiah","Washington, George",71
"Muhlenberg, Peter","Washington, George",71
"Davies, William","Jefferson, Thomas",71
"Jefferson, Thomas","Paine, Thomas",71
"Kirkpatrick, William","Madison, James",71
"Jefferson, Thomas","Milligan, Joseph",71
"Brodhead, Daniel","Washington, George",70
"Currie, James","Jefferson, Thomas",70
"Carrington, Edward","Madison, James",70
"Dumas, Charles-Guillaume-Frédéric","Lee, Arthur",69
"Board of Trade,","Jefferson, Thomas",69
"Franklin, Benjamin","Hodgson, William",69
